Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Midlands
Areal series, starting in 1836
Last updated 01-Aug-2022 10:59
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836   61.1   57.0  103.7   59.2   14.6   60.1   69.6   44.0   63.6   77.2  131.4   59.4     ---   177.6   173.6   272.2   801.0
1837   89.5   82.7   27.6   46.3   31.2   50.9   63.0   87.3   57.9   71.9   67.7   72.9   231.6   105.1   201.2   197.4   748.8
1838   22.0   56.8   41.9   46.7   65.7   90.4   65.3   63.5   59.2   70.2   94.2   38.9   151.8   154.3   219.2   223.6   714.8
1839   45.3   47.4   58.6   37.3   19.8  121.3  127.9   75.3  103.1   75.3  119.9   65.7   131.5   115.7   324.5   298.3   896.9
1840   85.4   54.3    6.7   19.1   75.4   49.8   74.5   63.6   71.0   36.0  120.9   16.0   205.4   101.2   187.9   227.9   672.6
1841   60.3   37.4   49.2   42.6   64.2   75.5   78.8   96.0  114.4  108.9   91.4   76.9   113.6   156.0   250.2   314.6   895.3
1842   51.3   35.4   79.1   15.9   62.2   56.0   74.9   47.3   76.7   35.1  132.5   38.1   163.7   157.2   178.2   244.3   704.6
1843   59.3   66.2   27.4   71.8  104.3   69.7   67.2   86.5   21.1  129.7   77.2   13.1   163.7   203.4   223.4   227.9   793.5
1844   42.1   65.0   70.2   11.7    7.6   30.9   65.7   69.6   62.6   65.1   79.0   10.6   120.2    89.5   166.2   206.6   580.1
1845   43.6   23.6   46.0   43.6   59.7   75.6   84.1  110.4   64.9   58.9   58.0   95.5    77.7   149.3   270.0   181.7   763.7
1846   79.4   27.5   47.3  113.4   35.8   47.2   71.6  101.1   41.7  122.8   39.3   26.2   202.5   196.5   219.9   203.8   753.3
1847   52.5   39.9   33.9   43.7   89.1   58.6   27.1   44.1   60.3   96.8   54.3  103.1   118.6   166.7   129.7   211.4   703.3
1848   34.4  101.8   93.3   70.5   22.5  123.5   68.9  115.2  101.1  121.3   36.9   73.1   239.4   186.3   307.6   259.3   962.6
1849   71.1   36.1   22.3   72.1   64.6   39.3   74.8   47.0  100.2   80.1   45.5   84.8   180.4   159.0   161.1   225.9   738.0
1850   44.2   43.8   15.4   69.2   51.3   33.0   92.1   52.1   46.2   48.9   68.3   48.4   172.8   135.9   177.2   163.5   613.0
1851   79.5   23.5   81.4   36.4   34.7   73.2   82.1   55.0   28.7   64.1   25.2   35.0   151.5   152.5   210.2   118.0   618.8
1852  108.6   52.8   11.9   11.9   39.1  111.9   70.6  109.9   91.0   84.5  173.1   87.6   196.3    62.9   292.3   348.6   952.8
1853   73.3   28.2   32.9   50.9   44.2  102.7   89.2   67.9   58.1   93.0   52.5   25.5   189.1   128.0   259.8   203.7   718.5
1854   65.5   27.5   18.0   14.2   58.2   45.4   76.9   40.3   30.5   46.0   53.0   64.3   118.5    90.5   162.6   129.5   539.9
1855   12.0   34.5   46.2   18.7   46.8   67.7  120.3   46.9   30.4  127.8   25.0   26.9   110.8   111.7   234.9   183.3   603.4
