year,from_country,to_country,points,from_code2,from_code3,to_code2,to_code3,total_points,rank,Country_code2_x,Voting_Languages,Country,Artist,Language_sung,Year,Country_code2_y,Country_code3,Contains_English,Contains_NonEnglish,Official_languages,Contains_Multiple_Languages,Number_of_Languages,Contains_Own_Language,Contains_Voting_Language,gender
1998,belgium,croatia,5,BE,BEL,HR,HRV,131,5.0,BE,dutch french german,croatia,Danijela,['croatian'],1998,HR,HRV,False,True,croatian,False,1,True,False,female
1998,belgium,cyprus,2,BE,BEL,CY,CYP,37,11.0,BE,dutch french german,cyprus,Michael Hajiyanni,['greek'],1998,CY,CYP,False,True,greek turkish,False,1,True,False,male
1998,belgium,estonia,0,BE,BEL,EE,EST,36,12.0,BE,dutch french german,estonia,Koit Toome,['estonian'],1998,EE,EST,False,True,võro estonian,False,1,True,False,male
1998,belgium,north macedonia,0,BE,BEL,MK,MKD,16,19.0,BE,dutch french german,north macedonia,Vlado Janevski,['macedonian'],1998,MK,MKD,False,True,macedonian albanian,False,1,True,False,male
1998,belgium,finland,0,BE,BEL,FI,FIN,22,15.0,BE,dutch french german,finland,Edea,['finnish'],1998,FI,FIN,False,True,finnish swedish,False,1,True,False,group
1998,belgium,france,0,BE,BEL,FR,FRA,3,24.0,BE,dutch french german,france,Marie Line,['french'],1998,FR,FRA,False,True,breton corsican french,False,1,True,True,female
1998,belgium,germany,7,BE,BEL,DE,DEU,86,7.0,BE,dutch french german,germany,Guildo Horn feat. Die Orthopädischen Strümpfe,['german'],1998,DE,DEU,False,True,german,False,1,True,True,group
1998,belgium,greece,0,BE,BEL,GR,GRC,12,20.0,BE,dutch french german,greece,Thalassa,['greek'],1998,GR,GRC,False,True,greek,False,1,True,False,group
1998,belgium,hungary,0,BE,BEL,HU,HUN,4,23.0,BE,dutch french german,hungary,Charlie,['hungarian'],1998,HU,HUN,False,True,hungarian,False,1,True,False,male
1998,belgium,ireland,0,BE,BEL,IE,IRL,64,9.0,BE,dutch french german,ireland,Dawn Martin,['english'],1998,IE,IRL,True,False,irish english,False,1,True,False,female
1998,belgium,israel,10,BE,BEL,IL,ISR,172,1.0,BE,dutch french german,israel,Dana International,['hebrew'],1998,IL,ISR,False,True,hebrew,False,1,True,False,female
1998,belgium,malta,8,BE,BEL,MT,MLT,165,3.0,BE,dutch french german,malta,Chiara,['english'],1998,MT,MLT,True,False,maltese english,False,1,True,False,female
1998,belgium,norway,4,BE,BEL,NO,NOR,79,8.0,BE,dutch french german,norway,Lars A. Fredriksen,['norwegian'],1998,NO,NOR,False,True,norwegian sami languages,False,1,True,False,male
1998,belgium,poland,0,BE,BEL,PL,POL,19,17.0,BE,dutch french german,poland,Sixteen,['polish'],1998,PL,POL,False,True,polish,False,1,True,False,group
1998,belgium,portugal,1,BE,BEL,PT,PRT,36,13.0,BE,dutch french german,portugal,Alma Lusa,['portuguese'],1998,PT,PRT,False,True,portuguese,False,1,True,False,group
1998,belgium,romania,0,BE,BEL,RO,ROU,6,22.0,BE,dutch french german,romania,Mălina Olinescu,['romanian'],1998,RO,ROU,False,True,romanian,False,1,True,False,female
